Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Sh,SoT,Fls,Fld,Off,Crs,Int,TklW,OG,SoT%,G/Sh,G/SoT,PPM,+/-90,On-Off,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Primary_Position,Secondary_Position,Is_Multi_Position,Position_Group,Eligible_450,Eligible_900,Eligible_1350,Gls_per90,Ast_per90,G+A_per90,G-PK_per90,PK_per90,PKatt_per90,CrdY_per90,CrdR_per90,Sh_per90,SoT_per90,Fls_per90,Fld_per90,Off_per90,Crs_per90,Int_per90,TklW_per90,OG_per90
Adama Camara,fr FRA,"MF,DF",Paris FC,fr Ligue 1,28.0,1996.0,29,26,2159,24.0,1,0,1,1,0,0,8,0,17,5,26,18,0,14,38,30,0,29.4,0.06,0.2,1.38,-0.29,-0.69,,,,,,,,,,,,,,,MF,DF,True,Midfielder,True,True,True,0.041685965724872626,0.0,0.041685965724872626,0.041685965724872626,0.0,0.0,0.333487725798981,0.0,0.7086614173228346,0.20842982862436313,1.0838351088466882,0.7503473830477072,0.0,0.5836035201482168,1.5840666975451598,1.2505789717461788,0.0
Lamine Camara,sn SEN,MF,Monaco,fr Ligue 1,21.0,2004.0,24,22,1847,20.5,3,4,7,3,0,0,6,0,25,4,28,48,0,101,38,33,0,16.0,0.12,0.75,1.88,0.63,1.15,,,,,,,,,,,,,,,MF,,False,Midfielder,True,True,True,0.1461829994585815,0.19491066594477532,0.3410936654033568,0.1461829994585815,0.0,0.0,0.292365998917163,0.0,1.2181916621548456,0.19491066594477532,1.3643746616134271,2.338927991337304,0.0,4.921494315105576,1.8516513264753653,1.6080129940443963,0.0
Mahdi Camara,fr FRA,MF,Rennes,fr Ligue 1,27.0,1998.0,32,31,2653,29.5,3,1,4,3,0,0,5,1,29,12,39,28,4,28,27,33,0,41.4,0.1,0.25,1.72,0.44,1.33,,,,,,,,,,,,,,,MF,,False,Midfielder,True,True,True,0.10177157934413872,0.03392385978137957,0.1356954391255183,0.10177157934413872,0.0,0.0,0.16961929890689786,0.03392385978137957,0.9837919336600076,0.4070863173765549,1.3230305314738031,0.9498680738786279,0.1356954391255183,0.9498680738786279,0.9159442140972485,1.1194873727855257,0.0
Ousmane Camara,ml MLI,DF,Angers,fr Ligue 1,22.0,2003.0,32,31,2718,30.2,1,0,1,1,0,0,3,0,13,5,22,7,1,3,34,29,0,38.5,0.08,0.2,1.13,-0.33,2.04,,,,,,,,,,,,,,,DF,,False,Defender,True,True,True,0.033112582781456956,0.0,0.033112582781456956,0.033112582781456956,0.0,0.0,0.09933774834437085,0.0,0.43046357615894043,0.16556291390728478,0.728476821192053,0.23178807947019867,0.033112582781456956,0.09933774834437085,1.1258278145695364,0.9602649006622516,0.0
Eduardo Camavinga,fr FRA,MF,Real Madrid,es La Liga,22.0,2002.0,29,16,1528,17.0,1,0,1,1,0,0,2,0,13,2,34,31,2,2,15,37,0,15.4,0.08,0.5,2.24,1.06,-0.08,,,,,,,,,,,,,,,MF,,False,Midfielder,True,True,True,0.05890052356020943,0.0,0.05890052356020943,0.05890052356020943,0.0,0.0,0.11780104712041886,0.0,0.7657068062827226,0.11780104712041886,2.0026178010471205,1.8259162303664922,0.11780104712041886,0.11780104712041886,0.8835078534031413,2.1793193717277486,0.0
Nicolò Cambiaghi,it ITA,"MF,FW",Bologna,it Serie A,24.0,2000.0,28,17,1518,16.9,3,4,7,3,0,0,3,1,24,6,32,71,5,63,9,20,0,25.0,0.13,0.5,1.36,0.06,-0.04,,,,,,,,,,,,,,,MF,FW,True,Midfielder,True,True,True,0.17786561264822134,0.23715415019762848,0.4150197628458498,0.17786561264822134,0.0,0.0,0.17786561264822134,0.05928853754940712,1.4229249011857708,0.3557312252964427,1.8972332015810278,4.209486166007905,0.2964426877470356,3.7351778656126484,0.533596837944664,1.1857707509881423,0.0
Andrea Cambiaso,it ITA,"MF,DF",Juventus,it Serie A,25.0,2000.0,36,35,2769,30.8,3,4,7,3,0,0,3,1,26,13,29,21,2,123,20,39,2,50.0,0.12,0.23,1.75,0.62,-0.49,,,,,,,,,,,,,,,MF,DF,True,Midfielder,True,True,True,0.09750812567713976,0.13001083423618637,0.2275189599133261,0.09750812567713976,0.0,0.0,0.09750812567713976,0.03250270855904659,0.8450704225352113,0.4225352112676056,0.9425785482123511,0.6825568797399784,0.06500541711809318,3.99783315276273,0.6500541711809318,1.267605633802817,0.06500541711809318
Matteo Cancellieri,it ITA,FW,Lazio,it Serie A,23.0,2002.0,30,21,1725,19.2,4,2,6,4,0,0,6,0,41,17,39,67,3,21,24,28,0,41.5,0.1,0.24,1.37,0.1,0.16,,,,,,,,,,,,,,,FW,,False,Forward,True,True,True,0.20869565217391303,0.10434782608695652,0.3130434782608696,0.20869565217391303,0.0,0.0,0.3130434782608696,0.0,2.139130434782609,0.8869565217391304,2.0347826086956524,3.4956521739130437,0.1565217391304348,1.0956521739130434,1.2521739130434784,1.4608695652173913,0.0
João Cancelo,pt POR,DF,Barcelona,es La Liga,31.0,1994.0,16,11,954,10.6,2,2,4,2,0,0,1,0,13,4,11,14,4,31,11,19,0,30.8,0.15,0.5,2.44,1.98,0.59,,,,,,,,,,,,,,,DF,,False,Defender,True,True,False,0.18867924528301888,0.18867924528301888,0.37735849056603776,0.18867924528301888,0.0,0.0,0.09433962264150944,0.0,1.2264150943396226,0.37735849056603776,1.0377358490566038,1.3207547169811322,0.37735849056603776,2.924528301886792,1.0377358490566038,1.7924528301886793,0.0
Simone Canestrelli,it ITA,DF,Pisa,it Serie A,24.0,2000.0,37,36,3201,35.6,1,0,1,1,0,0,4,0,16,3,42,22,1,12,33,25,0,18.8,0.06,0.33,0.49,-1.12,0.93,,,,,,,,,,,,,,,DF,,False,Defender,True,True,True,0.028116213683223992,0.0,0.028116213683223992,0.028116213683223992,0.0,0.0,0.11246485473289597,0.0,0.4498594189315839,0.08434864104967198,1.1808809746954076,0.6185567010309279,0.028116213683223992,0.3373945641986879,0.9278350515463918,0.7029053420805998,0.0
