Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Sh,SoT,Fls,Fld,Off,Crs,Int,TklW,OG,SoT%,G/Sh,G/SoT,PPM,+/-90,On-Off,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Primary_Position,Secondary_Position,Is_Multi_Position,Position_Group,Eligible_450,Eligible_900,Eligible_1350,Gls_per90,Ast_per90,G+A_per90,G-PK_per90,PK_per90,PKatt_per90,CrdY_per90,CrdR_per90,Sh_per90,SoT_per90,Fls_per90,Fld_per90,Off_per90,Crs_per90,Int_per90,TklW_per90,OG_per90
Arnau Tenas,es ESP,GK,Villarreal,es La Liga,24.0,2001.0,10,10,900,10.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,,,1.5,0.5,-0.25,16.0,1.6,44.0,30.0,68.2,4.0,3.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,GK,,False,Goalkeeper,True,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0
Kevin Trapp,de GER,GK,Paris FC,fr Ligue 1,35.0,1990.0,22,22,1980,22.0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,1,0,0,,,,1.45,0.0,0.25,29.0,1.32,80.0,56.0,71.3,8.0,8.0,6.0,7.0,31.8,8.0,6.0,1.0,1.0,GK,,False,Goalkeeper,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.2727272727272727,0.0,0.0,0.045454545454545456,0.0,0.0
Jonas Urbig,de GER,GK,Bayern Munich,de Bundesliga,21.0,2003.0,14,11,1111,12.3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,,,,2.64,2.03,-0.79,15.0,1.22,46.0,32.0,69.6,9.0,1.0,1.0,6.0,54.5,2.0,1.0,0.0,1.0,GK,,False,Goalkeeper,True,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.162016201620162,0.0,0.0,0.0,0.0,0.0
Álvaro Vallés,es ESP,GK,Real Betis,es La Liga,28.0,1997.0,28,28,2520,28.0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,1,0,0,,,,1.54,0.29,-0.01,36.0,1.29,118.0,87.0,72.9,10.0,13.0,5.0,8.0,28.6,6.0,4.0,1.0,1.0,GK,,False,Goalkeeper,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.03571428571428571,0.0,0.0
Maarten Vandevoordt,be BEL,GK,RB Leipzig,de Bundesliga,23.0,2002.0,12,11,1052,11.7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,2.17,0.86,0.45,15.0,1.28,44.0,30.0,65.9,8.0,1.0,2.0,2.0,18.2,1.0,0.0,1.0,0.0,GK,,False,Goalkeeper,True,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08555133079847908,0.0,0.0,0.0,0.0,0.0
Nikola Vasilj,ba BIH,GK,St Pauli,de Bundesliga,29.0,1995.0,34,34,3060,34.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,,,,0.76,-0.91,,60.0,1.76,178.0,123.0,68.0,6.0,8.0,20.0,5.0,14.7,6.0,3.0,2.0,1.0,GK,,False,Goalkeeper,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.029411764705882353,0.029411764705882353,0.029411764705882353
Bart Verbruggen,nl NED,GK,Brighton,eng Premier League,22.0,2002.0,38,38,3420,38.0,0,0,0,0,0,0,3,0,0,0,2,2,0,0,0,1,1,,,,1.39,0.16,,46.0,1.21,145.0,103.0,71.7,14.0,11.0,13.0,10.0,26.3,6.0,5.0,1.0,0.0,GK,,False,Goalkeeper,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.07894736842105263,0.0,0.0,0.0,0.052631578947368425,0.052631578947368425,0.0,0.0,0.0,0.026315789473684213,0.026315789473684213
Guglielmo Vicario,it ITA,GK,Tottenham Hotspur,eng Premier League,28.0,1996.0,31,31,2790,31.0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,,,,0.97,-0.32,-0.47,50.0,1.61,131.0,83.0,63.4,7.0,9.0,15.0,7.0,22.6,2.0,2.0,0.0,0.0,GK,,False,Goalkeeper,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0967741935483871,0.0,0.0,0.0,0.03225806451612903,0.0
Odysseas Vlachodimos,gr GRE,GK,Sevilla,es La Liga,31.0,1994.0,33,33,2970,33.0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,,,,1.18,-0.39,-0.19,52.0,1.58,131.0,88.0,66.4,11.0,6.0,16.0,5.0,15.2,10.0,8.0,1.0,1.0,GK,,False,Goalkeeper,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0,0.0,0.0,0.0,0.06060606060606061,0.0,0.0,0.030303030303030304,0.0,0.0
Michael Zetterer,de GER,GK,Eintracht Frankfurt,de Bundesliga,30.0,1995.0,22,21,1976,22.0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,1,1,0,,,,1.55,0.05,0.46,33.0,1.5,93.0,62.0,66.7,8.0,7.0,6.0,6.0,28.6,2.0,2.0,0.0,0.0,GK,,False,Goalkeeper,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.04554655870445344,0.0,0.0,0.0,0.0,0.2732793522267207,0.0,0.0,0.04554655870445344,0.04554655870445344,0.0
