Position_Group,K,Inertia,Silhouette_Score,Calinski_Harabasz_Score,Davies_Bouldin_Score,Smallest_Cluster,Largest_Cluster,Cluster_Balance_Ratio
Defender,2,5222.7447424714555,0.22645661169501494,113.54365376028795,1.858192894383007,134,395,0.3392405063291139
Defender,3,4614.351462574574,0.18635605797591626,98.81119135396132,1.9636526772315002,105,296,0.3547297297297297
Defender,4,4229.74594609944,0.13109134401786413,87.6398876330724,1.8914818581985953,99,203,0.4876847290640394
Defender,5,3976.9630904129417,0.12193894755535199,78.10126171516805,1.8577380962738768,47,181,0.2596685082872928
Defender,6,3796.2585526310963,0.11642251884542179,70.30926679369527,1.9457515034875457,32,146,0.2191780821917808
Defender,7,3649.798485209995,0.09397955821034845,64.31684728293271,1.9649643779044457,44,105,0.41904761904761906
Defender,8,3515.345622380918,0.0925708408938342,59.974307315558804,1.9520482006076807,17,103,0.1650485436893204
Midfielder,2,6316.756996304102,0.23771665362015734,236.85137634230654,1.6192162744284326,268,436,0.6146788990825688
Midfielder,3,5676.789140166624,0.13994849672447948,171.10189975157124,1.9536245195024857,165,273,0.6043956043956044
Midfielder,4,5244.337160555992,0.12258635131678176,142.53876253912537,1.9794100816402982,76,217,0.35023041474654376
Midfielder,5,4959.177001516717,0.11184838862155287,122.93810420529279,2.0702431378669925,67,180,0.37222222222222223
Midfielder,6,4724.788767304242,0.10864877679776865,110.00709527610908,2.0052839887832175,62,171,0.36257309941520466
Midfielder,7,4555.765311306619,0.09768454525211112,99.24741481913658,1.9958633269880879,62,140,0.44285714285714284
Midfielder,8,4402.078853608947,0.10391259684993383,91.38413305988603,1.9672303397236286,43,152,0.28289473684210525
Forward,2,2254.9845003315477,0.16256654919858574,52.50437393546072,1.9346580116606207,94,137,0.6861313868613139
Forward,3,2013.9514884472783,0.13778671261013195,42.90943988111488,2.046440284664008,58,89,0.651685393258427
Forward,4,1859.672146053546,0.1369932288074509,37.12095584255422,1.8698494779901962,36,81,0.4444444444444444
Forward,5,1733.2261558630712,0.11253876704918679,33.86212583695465,1.9871875914969581,29,70,0.4142857142857143
Forward,6,1650.7463273346384,0.10613358445724783,30.565820098724814,1.923086141244483,26,58,0.4482758620689655
Forward,7,1583.109464358945,0.10457753761506064,28.036751509097847,1.89029447974619,22,61,0.36065573770491804
Forward,8,1509.8408249451008,0.10271409291614768,26.631141828900763,1.8639888536149039,7,43,0.16279069767441862
