Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Sh,SoT,Fls,Fld,Off,Crs,Int,TklW,OG,SoT%,G/Sh,G/SoT,PPM,+/-90,On-Off,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Primary_Position,Secondary_Position,Is_Multi_Position,Position_Group,Eligible_450,Eligible_900,Eligible_1350,Gls_per90,Ast_per90,G+A_per90,G-PK_per90,PK_per90,PKatt_per90,CrdY_per90,CrdR_per90,Sh_per90,SoT_per90,Fls_per90,Fld_per90,Off_per90,Crs_per90,Int_per90,TklW_per90,OG_per90,Gls_per90_z,Ast_per90_z,G-PK_per90_z,Sh_per90_z,SoT_per90_z,Crs_per90_z,Fld_per90_z,TklW_per90_z,Int_per90_z,Fls_per90_z,Off_per90_z,CrdY_per90_z
Maxim De Cuyper,be BEL,"DF,MF",Brighton,eng Premier League,24.0,2000.0,30,17,1415,15.7,2,3,5,2,0,0,2,0,13,6,18,21,1,77,11,10,0,46.2,0.15,0.33,1.4,-0.13,-0.49,,,,,,,,,,,,,,,DF,MF,True,Defender,True,True,True,0.127208480565371,0.1908127208480565,0.3180212014134275,0.127208480565371,0.0,0.0,0.127208480565371,0.0,0.8268551236749117,0.381625441696113,1.1448763250883394,1.3356890459363957,0.0636042402826855,4.897526501766785,0.6996466431095407,0.6360424028268551,0.0,1.5544376338871497,2.2341574522431773,1.669018616062746,0.7746780298754495,1.635352434071319,2.5059550892693614,1.2675410938478575,-1.0615836159463834,-1.043564388958005,0.26028384243668096,0.01888734245838649,-0.6654583444877884
Charles De Ketelaere,be BEL,"MF,FW",Atalanta,it Serie A,24.0,2001.0,31,26,2177,24.2,3,5,8,3,0,0,4,0,46,16,23,36,3,46,5,15,0,34.8,0.07,0.19,1.45,0.54,0.39,,,,,,,,,,,,,,,MF,FW,True,Midfielder,True,True,True,0.1240238860817638,0.2067064768029398,0.3307303628847037,0.1240238860817638,0.0,0.0,0.1653651814423518,0.0,1.9016995865870463,0.6614607257694074,0.9508497932935231,1.4882866329811668,0.1240238860817638,1.9016995865870463,0.2067064768029398,0.6201194304088196,0.0,-0.09989285446292331,0.7940292812878996,-0.018175707855497464,0.6724401552297385,0.6279431744344309,-0.25927297263432236,0.3688719602137231,-1.0106663483843914,-1.4601050473398764,-0.4967506848125369,-0.1137410438131981,-0.20727607440532855
Thibault De Smet,be BEL,DF,Paris FC,fr Ligue 1,27.0,1998.0,17,13,1144,12.7,0,1,1,0,0,0,6,2,4,0,11,13,1,26,10,11,0,0.0,0.0,,1.18,-0.16,-0.11,,,,,,,,,,,,,,,DF,,False,Defender,True,True,False,0.0,0.0786713286713286,0.0786713286713286,0.0,0.0,0.0,0.472027972027972,0.1573426573426573,0.3146853146853147,0.0,0.8653846153846154,1.0227272727272727,0.0786713286713286,2.0454545454545454,0.7867132867132868,0.8653846153846154,0.0,-0.809444991619996,0.4484876763633354,-0.8221765122714052,-0.7902627823322272,-1.2246505919904345,0.5850623329039928,0.5657835580561773,-0.4736838201508112,-0.8071171296077162,-0.4631728478313108,0.21476387688860116,2.360235877984393
Koni De Winter,be BEL,DF,Milan,it Serie A,23.0,2002.0,26,19,1800,20.0,1,1,2,1,0,0,1,0,7,1,27,8,1,5,13,19,0,14.3,0.14,1.0,1.96,0.3,-0.37,,,,,,,,,,,,,,,DF,,False,Defender,True,True,True,0.05,0.05,0.1,0.05,0.0,0.0,0.05,0.0,0.35,0.05,1.35,0.4,0.05,0.25,0.65,0.95,0.0,0.11969220701684058,-0.008056727526572521,0.15700157289326824,-0.6823583503465757,-0.8499372325573435,-0.6241903379880651,-0.8305644747988001,-0.2567792791953606,-1.1783899916608955,0.7912408969572154,-0.15797174082255663,-1.3429410835916942
Alessandro Deiola,it ITA,"MF,DF",Cagliari,it Serie A,29.0,1995.0,20,17,1430,15.9,0,2,2,0,0,0,3,0,22,7,22,11,7,2,13,20,0,31.8,0.0,0.0,1.45,0.13,0.8,,,,,,,,,,,,,,,MF,DF,True,Midfielder,True,True,True,0.0,0.1258741258741259,0.1258741258741259,0.0,0.0,0.0,0.1888111888111888,0.0,1.3846153846153846,0.4405594405594406,1.3846153846153846,0.6923076923076923,0.4405594405594406,0.1258741258741259,0.8181818181818181,1.2587412587412588,0.0,-1.0341415412128914,0.03132726398995629,-1.0585089693537577,-0.009324926454836145,-0.056343716296335854,-1.1854769831449714,-0.8365693917738015,0.5121645588689466,0.08811818635679411,0.37833993816032124,1.7993263959493986,-0.012219329254814825
Romain Del Castillo,fr FRA,"MF,FW",Brest,fr Ligue 1,29.0,1996.0,32,32,2625,29.2,9,3,12,3,6,8,2,1,33,13,28,43,5,198,28,36,0,39.4,0.09,0.23,1.19,-0.1,1.76,,,,,,,,,,,,,,,MF,FW,True,Midfielder,True,True,True,0.3085714285714285,0.1028571428571428,0.4114285714285715,0.1028571428571428,0.2057142857142857,0.2742857142857143,0.0685714285714285,0.0342857142857142,1.1314285714285717,0.4457142857142857,0.96,1.4742857142857144,0.1714285714285714,6.788571428571428,0.96,1.2342857142857142,0.0,1.2902691914210302,-0.18585186265236586,-0.19572591781786705,-0.34314662844376015,-0.04037552960219905,2.2895362425913675,0.3476687781960761,0.4538488901924528,0.4471943243354828,-0.4782908063728944,0.17276187425177514,-1.0125421518612279
Liam Delap,eng ENG,FW,Chelsea,eng Premier League,22.0,2003.0,28,12,1107,12.3,1,0,1,1,0,0,4,0,36,11,25,19,5,6,1,3,0,30.6,0.03,0.09,1.32,0.08,-0.11,,,,,,,,,,,,,,,FW,,False,Forward,True,True,False,0.08130081300813,0.0,0.08130081300813,0.08130081300813,0.0,0.0,0.3252032520325203,0.0,2.9268292682926833,0.8943089430894309,2.032520325203252,1.5447154471544715,0.4065040650406504,0.4878048780487805,0.08130081300813,0.2439024390243902,0.0,-1.5058642899673844,-1.1734021059287691,-1.4668991103355271,0.5631536298046188,-0.32408909429746957,-0.4537088483383829,0.17609902430375712,-0.770942924915562,-0.9157283839046664,1.148404085966727,-0.32722245162393954,1.790937328278292
Fisayo Dele-Bashiru,ng NGA,MF,Lazio,it Serie A,24.0,2001.0,24,11,1187,13.2,1,0,1,1,0,0,0,0,9,2,8,3,2,10,4,15,0,22.2,0.11,0.5,1.33,0.15,0.19,,,,,,,,,,,,,,,MF,,False,Midfielder,True,True,False,0.075821398483572,0.0,0.075821398483572,0.075821398483572,0.0,0.0,0.0,0.0,0.6823925863521483,0.151642796967144,0.6065711878685762,0.227464195450716,0.151642796967144,0.7582139848357202,0.3032855939342881,1.1373209772535806,0.0,-0.4629931584398834,-1.1563710848352395,-0.42250629867650036,-0.9351915098724115,-0.9513220842864811,-0.8556722099096321,-1.5405347163334933,0.2226308329397035,-1.215571829212905,-1.191307803507534,0.05318124465993407,-1.5830153866876162
Enrico Delprato,it ITA,"DF,MF",Parma,it Serie A,25.0,1999.0,35,34,2951,32.8,2,0,2,2,0,0,5,0,18,9,16,10,6,19,24,21,0,50.0,0.11,0.22,1.11,-0.52,-0.33,,,,,,,,,,,,,,,DF,MF,True,Defender,True,True,True,0.0609962724500169,0.0,0.0609962724500169,0.0609962724500169,0.0,0.0,0.1524906811250423,0.0,0.5489664520501525,0.2744832260250762,0.4879701796001355,0.3049813622500847,0.1829888173500508,0.579464588275161,0.7319552694002033,0.6404608607251778,0.0,0.3240331226099631,-0.8042256269931214,0.37234775292440025,-0.07441404045506875,0.8324000426473397,-0.40229336245910324,-1.0436257838459817,-1.0502572645207773,-0.9558237132686167,-1.4400998517179073,1.5709215920217392,-0.44361413307064723
Olivier Deman,be BEL,"DF,MF",Werder Bremen,de Bundesliga,25.0,2000.0,16,14,1254,13.9,1,2,3,1,0,0,3,0,10,3,19,12,3,63,10,26,0,30.0,0.1,0.33,0.88,-0.43,0.42,,,,,,,,,,,,,,,DF,MF,True,Defender,True,True,False,0.0717703349282296,0.1435406698564593,0.2153110047846889,0.0717703349282296,0.0,0.0,0.2153110047846889,0.0,0.7177033492822966,0.2153110047846889,1.3636363636363638,0.8612440191387559,0.2153110047846889,4.521531100478469,0.7177033492822966,1.8660287081339713,0.0,0.5242447671888589,1.481426715973047,0.5833422702616174,0.4411635128661941,0.3889476065252673,2.252719247458663,0.20368792909839392,2.091384560547892,-0.9945277141681448,0.826538253412304,1.9911194362630253,0.10761656895433008
