Position_Group,Feature,Imputation_Median
Defender,Gls_per90,0.0321888412017167
Defender,Ast_per90,0.0344827586206896
Defender,G-PK_per90,0.0318358684117439
Defender,Sh_per90,0.5128205128205129
Defender,SoT_per90,0.1379310344827586
Defender,Crs_per90,0.4765266501941405
Defender,Fld_per90,0.6952247191011236
Defender,TklW_per90,0.9991119005328596
Defender,Int_per90,1.0717643371983705
Defender,Fls_per90,1.016566265060241
Defender,Off_per90,0.0437317784256559
Defender,CrdY_per90,0.192967409948542
Midfielder,Gls_per90,0.09686098966352795
Midfielder,Ast_per90,0.09686098966352795
Midfielder,G-PK_per90,0.0920251412016641
Midfielder,Sh_per90,1.269148483892645
Midfielder,SoT_per90,0.3859082819348702
Midfielder,Crs_per90,1.998116812227074
Midfielder,Fld_per90,1.1453677817410586
Midfielder,TklW_per90,0.9933584347202262
Midfielder,Int_per90,0.7396083400196489
Midfielder,Fls_per90,1.157679132483854
Midfielder,Off_per90,0.0945378151260504
Midfielder,CrdY_per90,0.17320191844746485
Forward,Gls_per90,0.3585657370517928
Forward,Ast_per90,0.095103909827404
Forward,G-PK_per90,0.313588850174216
Forward,Sh_per90,2.468996617812852
Forward,SoT_per90,0.9722222222222222
Forward,Crs_per90,0.6064690026954178
Forward,Fld_per90,1.3567839195979898
Forward,TklW_per90,0.4643164230438521
Forward,Int_per90,0.2133712660028449
Forward,Fls_per90,1.3366336633663365
Forward,Off_per90,0.4474829086389061
Forward,CrdY_per90,0.1388888888888889
