Feature,Missing_Count,Missing_Percentage,Unique_Values,Mean,Median,Standard_Deviation,Skewness,Minimum,Maximum
Gls_per90,0,0.0,1036,0.14073526153091057,0.082854070051257,0.16577205625179758,1.8507381059047432,0.0,1.3630626840555322
Ast_per90,0,0.0,978,0.0954721678662774,0.073170731707317,0.09757931048467416,1.5707339949795476,0.0,0.7383419689119172
G-PK_per90,0,0.0,1024,0.12814124927835246,0.07982267919837495,0.14690150753076633,1.6687551322095222,0.0,0.9844341607067733
Sh_per90,0,0.0,1428,1.2701978070756812,0.9943443549629302,0.9098964156352466,1.0223122943048872,0.0,5.055790688726433
SoT_per90,0,0.0,1334,0.44062989734721225,0.2987276516845496,0.4017751040831158,1.349485536623512,0.0,2.536811106436685
Crs_per90,0,0.0,1386,1.759117588929192,1.0558614086529832,1.8096842044307784,1.3375737400195622,0.0,9.92939099735216
Fld_per90,0,0.0,1421,1.1022368946054262,0.9867580674244031,0.6461446557915358,1.0333578886585906,0.0,4.307535641547862
TklW_per90,0,0.0,1391,0.9598620840693921,0.916322078124013,0.4436827320097176,0.5065595421974478,0.0,2.7318718381112985
Int_per90,0,0.0,1403,0.8106010551267061,0.8007302707156978,0.45226351217665123,0.3563065753607472,0.0,2.518168604651163
Fls_per90,0,0.0,1406,1.1699297491960674,1.1077604817634361,0.4864904265060184,0.6907185300171357,0.087378640776699,3.282674772036474
Off_per90,0,0.0,1016,0.17193759426396815,0.0880195809493202,0.23400528589731648,2.4046978746155023,0.0,1.9522776572668112
CrdY_per90,0,0.0,1243,0.18783343149569656,0.1751398790082081,0.11664811602669681,0.6697775099333714,0.0,0.7323026851098454
