Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Fls,Fld,Off,Crs,Int,TklW,OG,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Primary_Position,Secondary_Position,Is_Multi_Position,Position_Group,Eligible_450,Eligible_900,Eligible_1350,Gls_per90_calc,Ast_per90_calc,G-PK_per90_calc,CrdY_per90_calc,CrdR_per90_calc,Sh_per90_calc,SoT_per90_calc,Fls_per90_calc,Fld_per90_calc,Off_per90_calc,Crs_per90_calc,Int_per90_calc,TklW_per90_calc,OG_per90_calc
Youssef Maleh,ma MAR,MF,Cremonese,it Serie A,26.0,1998.0,14,14,1100,12.2,1,0,1,1,0,0,2,1,0.08,15,3,20.0,1.23,0.25,0.07,0.33,79,32.2,79.0,7,0,,0,0.71,9,22,-13,-1.06,-0.6,27,10,0,41,9,11,0,,,,,,,,,,,,,,,MF,,False,Midfielder,True,True,False,0.08181818181818182,0.0,0.08181818181818182,0.16363636363636364,0.08181818181818182,1.2272727272727273,0.24545454545454548,2.209090909090909,0.8181818181818181,0.0,3.3545454545454545,0.7363636363636364,0.9,0.0
Youssef Maleh,ma MAR,MF,Lecce,it Serie A,26.0,1998.0,9,5,460,5.1,0,0,0,0,0,0,2,0,0.0,7,1,14.3,1.37,0.2,0.0,0.0,51,13.5,82.0,2,4,13.0,9,0.44,3,9,-6,-1.17,-0.69,9,8,0,12,7,4,0,,,,,,,,,,,,,,,MF,,False,Midfielder,True,False,False,0.0,0.0,0.0,0.391304347826087,0.0,1.3695652173913044,0.1956521739130435,1.7608695652173914,1.565217391304348,0.0,2.3478260869565215,1.3695652173913044,0.782608695652174,0.0
Donyell Malen,nl NED,"FW,MF",Aston Villa,eng Premier League,26.0,1999.0,21,5,656,7.3,4,1,5,4,0,0,0,0,0.69,27,9,33.3,3.7,1.23,0.15,0.44,31,19.2,71.0,0,16,19.0,0,2.05,11,10,1,0.14,-0.06,2,6,1,7,0,2,0,,,,,,,,,,,,,,,FW,MF,True,Forward,True,False,False,0.5487804878048781,0.13719512195121952,0.5487804878048781,0.0,0.0,3.704268292682927,1.2347560975609757,0.27439024390243905,0.823170731707317,0.13719512195121952,0.9603658536585367,0.0,0.27439024390243905,0.0
Donyell Malen,nl NED,FW,Roma,it Serie A,26.0,1999.0,18,18,1467,16.3,14,2,16,11,3,4,1,0,0.8,70,31,44.3,4.29,1.9,0.16,0.35,82,42.9,82.0,7,0,,0,1.89,33,17,16,0.98,0.43,12,17,14,6,3,3,0,,,,,,,,,,,,,,,FW,,False,Forward,True,True,True,0.8588957055214724,0.12269938650306748,0.6748466257668712,0.06134969325153374,0.0,4.294478527607362,1.9018404907975461,0.736196319018405,1.0429447852760736,0.8588957055214724,0.3680981595092025,0.18404907975460125,0.18404907975460125,0.0
Ruslan Malinovskyi,ua UKR,MF,Genoa,it Serie A,32.0,1993.0,34,28,2235,24.8,6,3,9,3,3,3,10,0,0.24,55,15,27.3,2.21,0.6,0.05,0.2,66,65.4,74.0,6,6,25.0,1,1.06,28,32,-4,-0.16,0.29,36,26,1,68,16,19,0,,,,,,,,,,,,,,,MF,,False,Midfielder,True,True,True,0.24161073825503354,0.12080536912751677,0.12080536912751677,0.40268456375838924,0.0,2.214765100671141,0.6040268456375839,1.4496644295302015,1.0469798657718121,0.04026845637583893,2.738255033557047,0.6442953020134229,0.7651006711409396,0.0
Lennard Maloney,us USA,"DF,MF",Mainz 05,de Bundesliga,25.0,1999.0,21,4,485,5.4,0,0,0,0,0,0,1,0,0.0,5,1,20.0,0.93,0.19,0.0,0.0,23,15.8,78.0,2,17,10.0,11,1.52,3,12,-9,-1.67,-1.67,13,3,1,2,8,8,0,,,,,,,,,,,,,,,DF,MF,True,Defender,True,False,False,0.0,0.0,0.0,0.18556701030927836,0.0,0.9278350515463918,0.18556701030927836,2.4123711340206184,0.5567010309278351,0.18556701030927836,0.3711340206185567,1.4845360824742269,1.4845360824742269,0.0
Pape Mamadou Sy,sn SEN,GK,Metz,fr Ligue 1,28.0,1997.0,8,8,706,7.8,0,0,0,0,0,0,0,0,0.0,0,0,,0.0,0.0,,,88,23.1,88.0,7,0,,9,0.38,7,20,-13,-1.66,-0.47,0,4,0,0,0,0,0,20.0,2.55,48.0,29.0,60.4,0.0,3.0,5.0,2.0,25.0,1.0,1.0,0.0,0.0,GK,,False,Goalkeeper,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.509915014164306,0.0,0.0,0.0,0.0,0.0
Giorgi Mamardashvili,ge GEO,GK,Liverpool,eng Premier League,24.0,2000.0,10,10,867,9.6,0,0,0,0,0,0,0,0,0.0,0,0,,0.0,0.0,,,87,25.4,87.0,9,0,,26,1.0,13,18,-5,-0.52,-1.05,1,2,0,0,1,1,0,18.0,1.87,49.0,33.0,65.3,3.0,1.0,6.0,2.0,20.0,2.0,1.0,1.0,0.0,GK,,False,Goalkeeper,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10380622837370243,0.20761245674740486,0.0,0.0,0.10380622837370243,0.10380622837370243,0.0
Felix Mambimbi,ch SUI,"FW,MF",Le Havre,fr Ligue 1,24.0,2001.0,17,7,530,5.9,1,0,1,1,0,0,1,0,0.17,6,2,33.3,1.02,0.34,0.17,0.5,31,17.3,62.0,0,10,9.0,13,0.94,4,8,-4,-0.68,-0.39,16,4,5,5,4,10,0,,,,,,,,,,,,,,,FW,MF,True,Forward,True,False,False,0.16981132075471697,0.0,0.16981132075471697,0.16981132075471697,0.0,1.0188679245283019,0.33962264150943394,2.7169811320754715,0.6792452830188679,0.8490566037735848,0.8490566037735848,0.6792452830188679,1.6981132075471697,0.0
Aitor Mañas,es ESP,FW,Alavés,es La Liga,22.0,2003.0,9,0,122,1.4,0,0,0,0,0,0,0,0,0.0,2,1,50.0,1.48,0.74,0.0,0.0,14,3.6,,0,9,14.0,10,1.0,2,3,-1,-0.74,-0.44,2,1,0,0,1,2,0,,,,,,,,,,,,,,,FW,,False,Forward,False,False,False,0.0,0.0,0.0,0.0,0.0,1.4754098360655739,0.7377049180327869,1.4754098360655739,0.7377049180327869,0.0,0.0,0.7377049180327869,1.4754098360655739,0.0
Gianluca Mancini,it ITA,DF,Roma,it Serie A,29.0,1996.0,36,36,3059,34.0,4,2,6,4,0,0,9,0,0.18,20,8,40.0,0.59,0.24,0.2,0.5,85,89.4,85.0,27,0,,0,1.86,52,26,26,0.76,0.27,71,42,5,29,47,28,0,,,,,,,,,,,,,,,DF,,False,Defender,True,True,True,0.11768551814318405,0.058842759071592025,0.11768551814318405,0.2647924158221641,0.0,0.5884275907159202,0.2353710362863681,2.0889179470415167,1.2356979405034325,0.14710689767898005,0.8532200065380844,1.3828048381824125,0.8237986270022883,0.0
Reinildo Mandava,mz MOZ,DF,Sunderland,eng Premier League,31.0,1994.0,25,23,1966,21.8,0,1,1,0,0,0,7,1,0.05,4,0,0.0,0.18,0.0,0.0,,79,57.5,83.0,19,2,23.0,0,1.6,28,26,2,0.09,0.59,32,35,1,23,29,23,0,,,,,,,,,,,,,,,DF,,False,Defender,True,True,True,0.0,0.04577822990844354,0.0,0.32044760935910477,0.04577822990844354,0.18311291963377416,0.0,1.4649033570701933,1.6022380467955237,0.04577822990844354,1.0528992878942014,1.3275686673448626,1.0528992878942014,0.0
Aïssa Mandi,dz ALG,DF,Lille,fr Ligue 1,33.0,1991.0,29,28,2424,26.9,1,0,1,1,0,0,8,0,0.04,14,4,28.6,0.52,0.15,0.07,0.25,84,79.2,86.0,24,1,6.0,2,1.83,37,28,9,0.33,-0.51,17,17,1,10,44,21,0,,,,,,,,,,,,,,,DF,,False,Defender,True,True,True,0.03712871287128713,0.0,0.03712871287128713,0.297029702970297,0.0,0.5198019801980198,0.1485148514851485,0.6311881188118812,0.6311881188118812,0.03712871287128713,0.37128712871287123,1.6336633663366338,0.7797029702970297,0.0
Rolando Mandragora,it ITA,MF,Fiorentina,it Serie A,28.0,1997.0,34,30,2421,26.9,7,3,10,6,1,1,7,0,0.33,64,18,28.1,2.38,0.67,0.09,0.33,71,70.8,75.0,11,4,41.0,1,1.03,29,33,-4,-0.15,0.3,37,56,0,69,15,24,0,,,,,,,,,,,,,,,MF,,False,Midfielder,True,True,True,0.26022304832713755,0.11152416356877323,0.22304832713754646,0.26022304832713755,0.0,2.379182156133829,0.6691449814126393,1.3754646840148699,2.0817843866171004,0.0,2.5650557620817844,0.5576208178438662,0.8921933085501859,0.0
Filippo Mane,it ITA,DF,Dortmund,de Bundesliga,20.0,2005.0,4,2,131,1.5,0,0,0,0,0,0,0,1,0.0,0,0,,0.0,0.0,,,33,4.3,65.0,0,2,1.0,8,2.5,4,2,2,1.37,0.33,1,2,0,1,2,0,0,,,,,,,,,,,,,,,DF,,False,Defender,False,False,False,0.0,0.0,0.0,0.0,0.6870229007633587,0.0,0.0,0.6870229007633587,1.3740458015267174,0.0,0.6870229007633587,1.3740458015267174,0.0,0.0
Mateus Mane,pt POR,MF,Wolves,eng Premier League,17.0,2007.0,27,19,1795,19.9,3,1,4,3,0,0,0,0,0.2,41,17,41.5,2.06,0.85,0.07,0.18,66,52.5,85.0,15,8,23.0,0,0.67,16,30,-14,-0.7,0.79,26,47,2,94,5,13,0,,,,,,,,,,,,,,,MF,,False,Midfielder,True,True,True,0.15041782729805014,0.05013927576601671,0.15041782729805014,0.0,0.0,2.0557103064066853,0.8523676880222841,1.3036211699164344,2.3565459610027855,0.10027855153203342,4.713091922005571,0.25069637883008355,0.6518105849582172,0.0
Orel Mangala,be BEL,MF,Lyon,fr Ligue 1,27.0,1998.0,9,5,414,4.6,0,0,0,0,0,0,0,0,0.0,4,1,25.0,0.87,0.22,0.0,0.0,46,13.5,67.0,0,4,20.0,2,2.11,6,7,-1,-0.22,-0.69,8,5,0,3,5,5,0,,,,,,,,,,,,,,,MF,,False,Midfielder,False,False,False,0.0,0.0,0.0,0.0,0.0,0.8695652173913043,0.21739130434782608,1.7391304347826086,1.0869565217391304,0.0,0.6521739130434783,1.0869565217391304,1.0869565217391304,0.0
Bendito Mantato,eng ENG,MF,Manchester Utd,eng Premier League,17.0,2008.0,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0,0,,0.0,0.0,,,16,0.5,,0,1,16.0,3,1.0,0,0,0,0.0,-0.5,0,0,0,1,0,0,0,,,,,,,,,,,,,,,MF,,False,Midfielder,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.625,0.0,0.0,0.0
Brad Mantsounga,cg CGO,DF,Nice,fr Ligue 1,17.0,2007.0,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0,0,,0.0,0.0,,,90,2.9,90.0,1,0,,4,0.0,1,5,-4,-4.0,-3.42,0,2,0,0,0,3,0,,,,,,,,,,,,,,,DF,,False,Defender,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0
Johan Manzambi,ch SUI,MF,Freiburg,de Bundesliga,19.0,2005.0,27,26,2077,23.1,5,4,9,5,0,0,4,2,0.39,51,13,25.5,2.21,0.56,0.1,0.38,77,67.9,78.0,8,1,45.0,1,1.37,36,36,0,0.0,0.55,22,78,2,35,27,14,0,,,,,,,,,,,,,,,MF,,False,Midfielder,True,True,True,0.21665864227250844,0.17332691381800674,0.21665864227250844,0.17332691381800674,0.08666345690900337,2.209918151179586,0.5633124699085219,0.9532980259990371,3.3798748194511314,0.08666345690900337,1.516610495907559,1.1699566682715454,0.6066441983630236,0.0
Sekou Mara,fr FRA,FW,Auxerre,fr Ligue 1,23.0,2002.0,27,14,1226,13.6,3,2,5,3,0,0,0,0,0.37,33,12,36.4,2.42,0.88,0.09,0.25,45,40.1,71.0,1,13,17.0,2,0.96,17,17,0,0.0,0.49,27,27,2,0,3,7,0,,,,,,,,,,,,,,,FW,,False,Forward,True,True,False,0.22022838499184338,0.1468189233278956,0.22022838499184338,0.0,0.0,2.4225122349102772,0.8809135399673735,1.9820554649265905,1.9820554649265905,0.1468189233278956,0.0,0.22022838499184338,0.5138662316476346,0.0
Alessandro Marcandalli,it ITA,DF,Genoa,it Serie A,22.0,2002.0,32,29,2597,28.9,0,2,2,0,0,0,4,0,0.07,5,2,40.0,0.17,0.07,0.0,0.0,81,75.9,87.0,24,3,28.0,4,1.22,36,36,0,0.0,1.09,23,11,0,10,18,24,0,,,,,,,,,,,,,,,DF,,False,Defender,True,True,True,0.0,0.0693107431651906,0.0,0.1386214863303812,0.0,0.1732768579129765,0.0693107431651906,0.797073546399692,0.3812090874085483,0.0,0.346553715825953,0.6237966884867154,0.8317289179822872,0.0
Marcão,br BRA,DF,Sevilla,es La Liga,29.0,1996.0,13,11,938,10.4,1,0,1,1,0,0,5,1,0.1,10,2,20.0,0.96,0.19,0.1,0.5,72,27.4,84.0,9,2,8.0,2,1.23,13,15,-2,-0.19,0.24,22,21,1,1,4,4,0,,,,,,,,,,,,,,,DF,,False,Defender,True,True,False,0.09594882729211088,0.0,0.09594882729211088,0.47974413646055436,0.09594882729211088,0.9594882729211087,0.19189765458422176,2.1108742004264394,2.014925373134328,0.09594882729211088,0.09594882729211088,0.3837953091684435,0.3837953091684435,0.0
Solly March,eng ENG,MF,Brighton,eng Premier League,31.0,1994.0,4,0,41,0.5,0,0,0,0,0,0,0,0,0.0,1,1,100.0,2.2,2.2,0.0,0.0,10,1.2,,0,4,10.0,2,1.5,0,1,-1,-2.2,-2.38,0,1,0,4,0,2,0,,,,,,,,,,,,,,,MF,,False,Midfielder,False,False,False,0.0,0.0,0.0,0.0,0.0,2.1951219512195124,2.1951219512195124,0.0,2.1951219512195124,0.0,8.78048780487805,0.0,4.390243902439025,0.0
Vincent Marchetti,fr FRA,MF,Paris FC,fr Ligue 1,28.0,1997.0,23,9,825,9.2,2,1,3,2,0,0,1,0,0.33,24,7,29.2,2.62,0.76,0.08,0.29,36,27.0,71.0,1,14,13.0,2,1.17,15,19,-4,-0.44,-0.48,12,4,1,1,5,13,0,,,,,,,,,,,,,,,MF,,False,Midfielder,True,False,False,0.21818181818181817,0.10909090909090909,0.21818181818181817,0.10909090909090909,0.0,2.618181818181818,0.7636363636363637,1.309090909090909,0.43636363636363634,0.10909090909090909,0.10909090909090909,0.5454545454545454,1.4181818181818182,0.0
Pablo Marí,es ESP,DF,Fiorentina,it Serie A,31.0,1993.0,11,9,808,9.0,0,0,0,0,0,0,3,0,0.0,2,0,0.0,0.22,0.0,0.0,,73,23.6,86.0,7,2,15.0,6,0.55,9,19,-10,-1.11,-1.15,17,8,0,0,19,8,0,,,,,,,,,,,,,,,DF,,False,Defender,True,False,False,0.0,0.0,0.0,0.3341584158415841,0.0,0.22277227722772278,0.0,1.8935643564356437,0.8910891089108911,0.0,0.0,2.116336633663366,0.8910891089108911,0.0
José María Giménez,uy URU,DF,Atlético Madrid,es La Liga,30.0,1995.0,16,13,1178,13.1,0,1,1,0,0,0,3,0,0.08,13,3,23.1,0.99,0.23,0.0,0.0,74,34.4,85.0,12,3,26.0,4,1.88,20,14,6,0.46,-0.02,20,10,1,0,15,12,0,,,,,,,,,,,,,,,DF,,False,Defender,True,True,False,0.0,0.07640067911714771,0.0,0.22920203735144315,0.0,0.9932088285229203,0.22920203735144315,1.5280135823429541,0.7640067911714771,0.07640067911714771,0.0,1.1460101867572157,0.9168081494057726,0.0
Mariano,do DOM,FW,Alavés,es La Liga,31.0,1993.0,10,3,288,3.2,0,0,0,0,0,0,1,0,0.0,6,3,50.0,1.87,0.94,0.0,0.0,29,8.4,56.0,0,7,17.0,17,0.8,2,4,-2,-0.62,-0.34,13,0,6,3,0,1,0,,,,,,,,,,,,,,,FW,,False,Forward,False,False,False,0.0,0.0,0.0,0.3125,0.0,1.875,0.9375,4.0625,0.0,1.875,0.9375,0.0,0.3125,0.0
Luca Marianucci,it ITA,DF,Torino,it Serie A,21.0,2004.0,10,6,575,6.4,0,0,0,0,0,0,2,0,0.0,1,0,0.0,0.16,0.0,0.0,,58,16.8,82.0,4,4,22.0,5,1.5,9,10,-1,-0.16,0.41,9,3,0,7,8,5,0,,,,,,,,,,,,,,,DF,,False,Defender,True,False,False,0.0,0.0,0.0,0.3130434782608696,0.0,0.1565217391304348,0.0,1.4086956521739131,0.4695652173913044,0.0,1.0956521739130434,1.2521739130434784,0.782608695652174,0.0
Luca Marianucci,it ITA,DF,Napoli,it Serie A,21.0,2004.0,2,1,119,1.3,0,1,1,0,0,0,0,0,0.76,1,0,0.0,0.76,0.0,0.0,,60,3.5,90.0,1,1,29.0,19,0.5,2,2,0,0.0,-0.6,2,0,0,2,1,2,0,,,,,,,,,,,,,,,DF,,False,Defender,False,False,False,0.0,0.7563025210084033,0.0,0.0,0.0,0.7563025210084033,0.0,1.5126050420168067,0.0,0.0,1.5126050420168067,0.7563025210084033,1.5126050420168067,0.0
