Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Fls,Fld,Off,Crs,Int,TklW,OG,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_stats_keeper,PKA,PKsv,PKm,Primary_Position,Secondary_Position,Is_Multi_Position,Position_Group,Eligible_450,Eligible_900,Eligible_1350,Gls_per90_calc,Ast_per90_calc,G-PK_per90_calc,CrdY_per90_calc,CrdR_per90_calc,Sh_per90_calc,SoT_per90_calc,Fls_per90_calc,Fld_per90_calc,Off_per90_calc,Crs_per90_calc,Int_per90_calc,TklW_per90_calc,OG_per90_calc
Obed Nkambadio,fr FRA,GK,Paris FC,fr Ligue 1,22.0,2003.0,12,12,1080,12.0,0,0,0,0,0,0,0,0,0.0,0,0,,0.0,0.0,,,90,35.3,90.0,12,0,,21,1.0,18,21,-3,-0.25,-0.25,0,0,0,0,0,0,0,21.0,1.75,44.0,26.0,56.8,3.0,3.0,6.0,1.0,8.3,4.0,2.0,1.0,1.0,GK,,False,Goalkeeper,True,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexander Nübel,de GER,GK,Stuttgart,de Bundesliga,28.0,1996.0,34,34,3060,34.0,0,1,1,0,0,0,0,0,0.03,0,0,,0.0,0.0,,,90,100.0,90.0,34,0,,0,1.82,71,49,22,0.65,,1,7,0,0,1,0,0,49.0,1.44,147.0,107.0,72.8,18.0,8.0,8.0,11.0,32.4,10.0,9.0,1.0,0.0,GK,,False,Goalkeeper,True,True,True,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.2058823529411765,0.0,0.0,0.029411764705882353,0.0,0.0
Jan Oblak,si SVN,GK,Atlético Madrid,es La Liga,32.0,1993.0,30,30,2700,30.0,0,0,0,0,0,0,0,0,0.0,0,0,,0.0,0.0,,,90,78.9,90.0,30,0,,3,1.9,51,31,20,0.67,0.92,0,4,0,0,0,0,0,31.0,1.03,104.0,75.0,72.1,17.0,6.0,7.0,11.0,36.7,3.0,2.0,0.0,1.0,GK,,False,Goalkeeper,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0
Maduka Okoye,ng NGA,GK,Udinese,it Serie A,25.0,1999.0,30,30,2616,29.1,0,0,0,0,0,0,1,1,0.0,0,0,,0.0,0.0,,,87,76.5,87.0,29,0,,1,1.37,37,32,5,0.17,1.07,2,4,0,0,0,0,0,37.0,1.27,111.0,80.0,71.2,12.0,5.0,13.0,10.0,33.3,6.0,5.0,1.0,0.0,GK,,False,Goalkeeper,True,True,True,0.0,0.0,0.0,0.034403669724770644,0.034403669724770644,0.0,0.0,0.06880733944954129,0.13761467889908258,0.0,0.0,0.0,0.0,0.0
Berke Özer,tr TUR,GK,Lille,fr Ligue 1,25.0,2000.0,32,32,2834,31.5,0,1,1,0,0,0,5,0,0.03,0,0,,0.0,0.0,,,89,92.6,89.0,31,0,,0,1.91,50,34,16,0.51,0.91,0,13,0,0,0,2,0,34.0,1.08,103.0,70.0,68.0,18.0,7.0,7.0,13.0,40.6,3.0,1.0,1.0,1.0,GK,,False,Goalkeeper,True,True,True,0.0,0.03175723359209598,0.0,0.1587861679604799,0.0,0.0,0.0,0.0,0.41284403669724773,0.0,0.0,0.0,0.06351446718419196,0.0
Alberto Paleari,it ITA,GK,Torino,it Serie A,32.0,1992.0,29,29,2610,29.0,0,0,0,0,0,0,1,0,0.0,0,0,,0.0,0.0,,,90,76.3,90.0,29,0,,9,1.28,35,45,-10,-0.34,0.66,0,7,0,0,1,0,0,45.0,1.55,125.0,82.0,65.6,10.0,7.0,12.0,9.0,31.0,2.0,2.0,0.0,0.0,GK,,False,Goalkeeper,True,True,True,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.24137931034482757,0.0,0.0,0.034482758620689655,0.0,0.0
Iñaki Peña,es ESP,GK,Elche,es La Liga,26.0,1999.0,16,16,1440,16.0,0,0,0,0,0,0,0,0,0.0,0,0,,0.0,0.0,,,90,42.1,90.0,16,0,,20,0.81,21,28,-7,-0.44,-0.39,0,1,0,0,0,0,0,28.0,1.75,81.0,55.0,67.9,3.0,4.0,9.0,4.0,25.0,2.0,2.0,0.0,0.0,GK,,False,Goalkeeper,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0
Mike Penders,be BEL,GK,Strasbourg,fr Ligue 1,20.0,2005.0,33,33,2970,33.0,0,0,0,0,0,0,3,0,0.0,0,0,,0.0,0.0,,,90,97.1,90.0,33,0,,0,1.52,57,47,10,0.3,-0.7,1,2,0,0,0,0,0,47.0,1.42,149.0,107.0,71.1,14.0,8.0,11.0,8.0,24.2,5.0,4.0,1.0,0.0,GK,,False,Goalkeeper,True,True,True,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.030303030303030304,0.06060606060606061,0.0,0.0,0.0,0.0,0.0
Lucas Perri,br BRA,GK,Leeds United,eng Premier League,27.0,1997.0,16,16,1440,16.0,0,0,0,0,0,0,2,0,0.0,0,0,,0.0,0.0,,,90,42.1,90.0,16,0,,18,1.13,23,29,-6,-0.37,-0.33,1,3,0,0,0,0,0,29.0,1.81,63.0,38.0,60.3,4.0,6.0,6.0,3.0,18.8,4.0,4.0,0.0,0.0,GK,,False,Goalkeeper,True,True,True,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0625,0.1875,0.0,0.0,0.0,0.0,0.0
Đorđe Petrović,rs SRB,GK,Bournemouth,eng Premier League,25.0,1999.0,38,38,3420,38.0,0,0,0,0,0,0,3,0,0.0,0,0,,0.0,0.0,,,90,100.0,90.0,38,0,,0,1.5,58,54,4,0.11,,0,2,0,0,0,0,1,54.0,1.42,157.0,109.0,69.4,13.0,18.0,7.0,11.0,28.9,6.0,6.0,0.0,0.0,GK,,False,Goalkeeper,True,True,True,0.0,0.0,0.0,0.07894736842105263,0.0,0.0,0.0,0.0,0.052631578947368425,0.0,0.0,0.0,0.0,0.026315789473684213
